slide,kind,left_or_single_english,left_or_single_thai,left_or_single_translit,left_or_single_breakdown,left_or_single_example_thai,left_or_single_example_translit,left_or_single_example_english,right_english,right_thai,right_translit,right_breakdown,right_example_thai,right_example_translit,right_example_english
1,cover,School Subjects in Thai,วิชาเรียน,wí-chaa rian,วิชา = subject (wí-chaa) | เรียน = study (rian),โรงเรียนมีหลายวิชาให้เรียน,roong-rian mii lǎai wí-chaa hâi rian,School has many subjects to study.,,,,,,,
2,teaching-single,Mathematics,คณิตศาสตร์,khà-nít-sàat,,พรุ่งนี้ฉันมีวิชาคณิตศาสตร์,phrûng-níi chǎn mii wí-chaa khà-nít-sàat,I have maths tomorrow.,,,,,,,
3,teaching-single,Science,วิทยาศาสตร์,wít-thá-yaa-sàat,,เพื่อนของฉันชอบวิทยาศาสตร์,phʉ̂an khǎawng chǎn châawp wít-thá-yaa-sàat,My friend likes science.,,,,,,,
4,teaching-single,Thai,ภาษาไทย,phaa-sǎa thai,ภาษา = language (phaa-sǎa) | ไทย = Thai (thai),ครูภาษาไทยพูดชัดมาก,khruu phaa-sǎa thai phûut chát mâak,The Thai teacher speaks very clearly.,,,,,,,
5,teaching-single,English,ภาษาอังกฤษ,phaa-sǎa ang-grìt,ภาษา = language (phaa-sǎa) | อังกฤษ = English (ang-grìt),ผมฝึกพูดภาษาอังกฤษทุกวัน,phǒm fʉ̀k phûut phaa-sǎa ang-grìt thúk wan,I practise speaking English every day.,,,,,,,
6,teaching-single,History,ประวัติศาสตร์,prà-wàt-sàat,,วิชาประวัติศาสตร์สนุกมาก,wí-chaa prà-wàt-sàat sà-nùk mâak,History class is very fun.,,,,,,,
7,teaching-single,Geography,ภูมิศาสตร์,phuu-mí-sàat,,เราใช้แผนที่ในวิชาภูมิศาสตร์,rao chái phǎen-thîi nai wí-chaa phuu-mí-sàat,We use a map in geography class.,,,,,,,
8,teaching-single,Art,ศิลปะ,sǐn-lá-pà,,น้องวาดรูปในวิชาศิลปะ,náawng wâat-rûup nai wí-chaa sǐn-lá-pà,My younger sibling draws pictures in art class.,,,,,,,
9,teaching-single,Music,ดนตรี,don-dtrii,,พวกเราร้องเพลงในวิชาดนตรี,phûuak-rao ráawng phleeng nai wí-chaa don-dtrii,We sing songs in music class.,,,,,,,
10,teaching-single,Computer,คอมพิวเตอร์,khaawm-phiw-dtôoe,,ห้องนี้มีคอมพิวเตอร์หลายเครื่อง,hâawng níi mii khaawm-phiw-dtôoe lǎai khrʉ̂ang,This room has many computers.,,,,,,,
11,teaching-single,Physical Education,พละศึกษา,phá-lá-sʉ̀k-sǎa,,วันนี้เราเล่นกีฬาในวิชาพละศึกษา,wan-níi rao lên gii-laa nai wí-chaa phá-lá-sʉ̀k-sǎa,Today we play sports in P.E.,,,,,,,
12,teaching-single,Social Studies,สังคมศึกษา,sǎng-khom-sʉ̀k-sǎa,,วิชาสังคมศึกษาช่วยให้เข้าใจสังคม,wí-chaa sǎng-khom-sʉ̀k-sǎa chûuay hâi khâo-jai sǎng-khom,Social studies helps us understand society.,,,,,,,
