"provider","provider_course","unit_type","unit_order","provider_unit_title","normalized_level","what_is_learned","evidence_mode","source_urls","confidence","researched_at","notes"
"Thai With Fah","Thai TALK","module",1,"THAI ESSENTIALS","","Thai basics: sentence structure, key function words, pronouns, polite particles, basic time expressions, negation, and starter tense handling.","explicit","https://www.thaiwithfah.com/thai-talk","high","2026-03-06","Landing page says all Thai TALK modules include quizzes; page also mentions per-video flashcards."
"Thai With Fah","Thai TALK","module",2,"Talk to Strangers","","Directions, self-introductions, taxi talk, buying things, using can/cannot, and opening real conversations with locals.","explicit","https://www.thaiwithfah.com/thai-talk","high","2026-03-06",""
"Thai With Fah","Thai TALK","module",3,"Talk at the Restaurant","","Restaurant Thai for numbers, staff interaction, ordering food and drinks, dish names, compliments, and practical can/cannot usage.","explicit","https://www.thaiwithfah.com/thai-talk","high","2026-03-06",""
"Thai With Fah","Thai TALK","module",4,"Talk for shopping","","Shopping Thai for night markets, online purchases, groceries, bargaining, and buying clothes with the right size and price language.","explicit","https://www.thaiwithfah.com/thai-talk","high","2026-03-06",""
"Thai With Fah","Thai TALK","module",5,"Talking about travel","","Travel planning language including plans, have-you-ever questions, past travel talk, hotel booking, rentals, transport, and famous places.","explicit","https://www.thaiwithfah.com/thai-talk","high","2026-03-06",""
"Thai With Fah","Thai TALK","module",6,"Talk with friends","","Friend-level conversation skills for opinions, when/time questions, weather talk, adjectives, who-questions, and quantifiers such as every and some.","explicit","https://www.thaiwithfah.com/thai-talk","high","2026-03-06",""
"Thai With Fah","Thai TALK","module",7,"Talk about daily life","","Daily-life Thai for routines, everyday questions, likes and dislikes, chores, meals, hobbies, and asking about someone's day.","explicit","https://www.thaiwithfah.com/thai-talk","high","2026-03-06",""
"Thai With Fah","Thai TALK","module",8,"Talk for Dating","","Dating-focused Thai for why/because, small talk, compliments, emotions, making plans, shared interests, family introductions, and long-term intentions.","explicit","https://www.thaiwithfah.com/thai-talk","high","2026-03-06",""
"ThaiPod101","Introduction to Thai + Level 1-5","course",0,"Introduction to Thai","A0","Quick-start introduction to Thai pronunciation, grammar, writing, and absolute-beginner survival words and phrases in a 5-lesson video path.","explicit","https://www.thaipod101.com/lesson-library/introduction-to-thai","high","2026-03-06","Benchmark scope uses Introduction plus Levels 1-5 only; bonus and topical pathways were excluded."
"ThaiPod101","Introduction to Thai + Level 1-5","level",1,"Level 1 Thai","A1-A2","Absolute-beginner Thai for greetings, polite requests, introductions, nationality and occupation, numbers, time, possession, question forms, directions, food ordering, classifiers, and everyday travel situations.","official_inferred","https://www.thaipod101.com/lesson-library/level-1-thai","medium","2026-03-06","Summary synthesized from official level page lesson titles and can-do checkpoints."
"ThaiPod101","Introduction to Thai + Level 1-5","level",2,"Level 2 Thai","A2","Beginner-to-lower-intermediate Thai covering comparisons, wants and needs, ownership, demonstratives, family and pronouns, directions, dates and relative time, feelings, reasons, and future intentions.","official_inferred","https://www.thaipod101.com/lesson-library/level-2-thai","medium","2026-03-06","Summary synthesized from official level page lesson titles and can-do checkpoints."
"ThaiPod101","Introduction to Thai + Level 1-5","level",3,"Level 3 Thai","B1","Intermediate Thai for arranging activities, housing and purchases, dining and errands, opinions and advice, cultural and entertainment talk, social support, and handling misunderstandings with richer grammar.","official_inferred","https://www.thaipod101.com/lesson-library/level-3-thai","medium","2026-03-06","Summary synthesized from official level page lesson titles and can-do checkpoints."
"ThaiPod101","Introduction to Thai + Level 1-5","level",4,"Level 4 Thai","B2","Upper-intermediate Thai for reacting to surprises, beliefs, risk, sympathy, empathy, banter, and social traditions while using more nuanced discourse markers and expressive structures.","official_inferred","https://www.thaipod101.com/lesson-library/level-4-thai","medium","2026-03-06","Summary synthesized from official level page lesson titles and can-do checkpoints."
"ThaiPod101","Introduction to Thai + Level 1-5","level",5,"Level 5 Thai","C1","Advanced Thai built through province, festival, landmark, film, and historical-figure content to deepen cultural literacy, topic vocabulary, and high-level comprehension and discussion.","official_inferred","https://www.thaipod101.com/lesson-library/level-5-thai","medium","2026-03-06","Summary synthesized from official level page lesson titles and topic clusters."
"Learn Thai From A White Guy","Learn Thai Online - Complete Thai Language Course","course",1,"Read Thai in 2 Weeks: Master the Thai Script and Sounds","","Teaches Thai script, sounds, and tone rules so learners can sound out words, understand pronunciation, and build a reading-first foundation.","explicit","https://learnthaifromawhiteguy.com/learn-thai-inner-circle; https://learnthaifromawhiteguy.com/learn-thai/","high","2026-03-06","Roadmap framing on the official site presents this as step 1 of the method."
"Learn Thai From A White Guy","Learn Thai Online - Complete Thai Language Course","course",2,"Core Sentence Packs (2 Courses)","","Drills high-frequency sentence patterns for early real-world conversation, replacing random vocabulary study with core structures learners can use immediately.","official_inferred","https://learnthaifromawhiteguy.com/learn-thai-inner-circle; https://learnthaifromawhiteguy.com/learn-thai/","medium","2026-03-06","Mapped to step 2 of the official 3-step roadmap."
"Learn Thai From A White Guy","Learn Thai Online - Complete Thai Language Course","course",3,"Talking Thai: Core Dialogues Course","","Builds confidence combining sentences into everyday question-and-answer dialogues so learners can practice realistic conversations and start sounding conversational quickly.","official_inferred","https://learnthaifromawhiteguy.com/learn-thai-inner-circle; https://learnthaifromawhiteguy.com/learn-thai/","medium","2026-03-06","Mapped to step 3 of the official 3-step roadmap."
"BananaThai","Intensive Thai Series","volume",1,"Intensive Thai Volume 1","A1","Total-beginner Thai that builds vocabulary, grammar, and syntax through everyday scenarios so learners can converse in basic Thai with structure and ease.","explicit","https://learn.bananathaischool.com/p/intensive-thai-v1; https://www.bananathaischool.com/course/intensive-thai-beginner/","high","2026-03-06",""
"BananaThai","Intensive Thai Series","volume",2,"Intensive Thai Volume 2","A2","Upper-beginner Thai that deepens grammar, expands vocabulary, and develops more natural and complex conversation, listening comprehension, and speaking confidence.","explicit","https://learn.bananathaischool.com/p/intensive-thai-v2; https://www.bananathaischool.com/course/intensive-thai-beginner/","high","2026-03-06","BananaThai's public beginner pages disagree on Volume 2 chapter numbering, so this row relies on the consistent course description rather than the chapter count."
"BananaThai","Intensive Thai Series","volume",3,"Intensive Thai Volume 3","B1","Intermediate Thai for stronger fluency, spontaneity, deeper-topic conversation, broader vocabulary, and more advanced grammar, usage, and listening work.","explicit","https://learn.bananathaischool.com/p/intensive-thai-v3; https://www.bananathaischool.com/course/intensive-thai-intermediate/","high","2026-03-06",""
"BananaThai","Intensive Thai Series","volume",4,"Intensive Thai Volume 4","B2","Upper-intermediate Thai focused on fluency, complex sentence structures, storytelling, wider vocabulary dynamics, and more natural nuanced conversation.","explicit","https://learn.bananathaischool.com/p/intensive-thai-v4; https://www.bananathaischool.com/course/intensive-thai-intermediate/","high","2026-03-06",""
