Module ID,Module Title,Lesson ID,Lesson Title,State,Item Type,Item Detail
M01,Thai Script Fundamentals,M01-L001,How Thai Works,READY_TO_RECORD,Word/Phrase,สวัสดี (sà-wàt-dii) = hello
M01,Thai Script Fundamentals,M01-L001,How Thai Works,READY_TO_RECORD,Word/Phrase,ขอบคุณ (khàawp-khun) = thank you
M01,Thai Script Fundamentals,M01-L001,How Thai Works,READY_TO_RECORD,Word/Phrase,ครับ (khráp) = male polite ending
M01,Thai Script Fundamentals,M01-L001,How Thai Works,READY_TO_RECORD,Word/Phrase,ค่ะ (khâ) = female statement ending
M01,Thai Script Fundamentals,M01-L001,How Thai Works,READY_TO_RECORD,Word/Phrase,คะ (khá) = female question ending
M01,Thai Script Fundamentals,M01-L001,How Thai Works,READY_TO_RECORD,Word/Phrase,ขอโทษ (khǎaw-thôot) = excuse me / sorry
M01,Thai Script Fundamentals,M01-L001,How Thai Works,READY_TO_RECORD,Word/Phrase,ไม่เข้าใจ (mâi khâo-jai) = I do not understand
M01,Thai Script Fundamentals,M01-L001,How Thai Works,READY_TO_RECORD,Word/Phrase,พูดช้าๆ ได้ไหม (phûut cháa-cháa dâai mái) = can you speak slowly?
M01,Thai Script Fundamentals,M01-L001,How Thai Works,READY_TO_RECORD,Grammar,Teach pragmatic greeting and gratitude with politeness particles.
M01,Thai Script Fundamentals,M01-L001,How Thai Works,READY_TO_RECORD,Grammar,Request slower speech without breaking politeness.
M01,Thai Script Fundamentals,M01-L001,How Thai Works,READY_TO_RECORD,Grammar,Primary objective: Learner can handle first-contact interactions politely in Thai.
M01,Thai Script Fundamentals,M01-L001,How Thai Works,READY_TO_RECORD,Grammar,Secondary objective: Learner can produce clear survival lines with correct politeness particles and usable tone-marked transliteration.
M01,Thai Script Fundamentals,M01-L001,How Thai Works,READY_TO_RECORD,Grammar,Polite endings: ครับ/ค่ะ | khráp/khâ | polite sentence endings
M01,Thai Script Fundamentals,M01-L001,How Thai Works,READY_TO_RECORD,Grammar,Transliteration must follow PTM-adapted scheme with inline tone marks (no superscript tone letters).
M01,Thai Script Fundamentals,M01-L001,How Thai Works,READY_TO_RECORD,Grammar,Dropping politeness particles in formal first-contact situations.
M01,Thai Script Fundamentals,M01-L001,How Thai Works,READY_TO_RECORD,Grammar,Saying khop-khun without low tone marker (must be khàawp-khun in this system).
M01,Thai Script Fundamentals,M01-L001,How Thai Works,READY_TO_RECORD,Grammar,Thai sentence pragmatics in real interactions (meaning from context + particles).
M01,Thai Script Fundamentals,M01-L002,The Thai Sound System,READY_TO_RECORD,Word/Phrase,ไก่ (gài) = chicken
M01,Thai Script Fundamentals,M01-L002,The Thai Sound System,READY_TO_RECORD,Word/Phrase,ไข่ (khài) = egg
M01,Thai Script Fundamentals,M01-L002,The Thai Sound System,READY_TO_RECORD,Word/Phrase,ใกล้ (glâi) = near
M01,Thai Script Fundamentals,M01-L002,The Thai Sound System,READY_TO_RECORD,Word/Phrase,ไกล (glǎi) = far
M01,Thai Script Fundamentals,M01-L002,The Thai Sound System,READY_TO_RECORD,Word/Phrase,ขา (khǎa) = leg
M01,Thai Script Fundamentals,M01-L002,The Thai Sound System,READY_TO_RECORD,Word/Phrase,ค่า (khâa) = value / fee
M01,Thai Script Fundamentals,M01-L002,The Thai Sound System,READY_TO_RECORD,Grammar,Lock in short/long vowel distinction.
M01,Thai Script Fundamentals,M01-L002,The Thai Sound System,READY_TO_RECORD,Grammar,"Primary objective: Distinguish consonants, short/long vowels, and 5 tones at a beginner level."
M01,Thai Script Fundamentals,M01-L002,The Thai Sound System,READY_TO_RECORD,Grammar,Scenario: Learner listens to Thai words that sound similar but differ by tone/vowel length.
M01,Thai Script Fundamentals,M01-L002,The Thai Sound System,READY_TO_RECORD,Grammar,"Thai sound inventory basics (consonants, vowels, tone-bearing syllables)."
M01,Thai Script Fundamentals,M01-L003,How to Use This Course,READY_TO_RECORD,Word/Phrase,สวัสดี (sà-wàt-dii) = hello
M01,Thai Script Fundamentals,M01-L003,How to Use This Course,READY_TO_RECORD,Word/Phrase,ขอบคุณ (khàawp-khun) = thank you
M01,Thai Script Fundamentals,M01-L003,How to Use This Course,READY_TO_RECORD,Word/Phrase,ขอโทษ (khǎaw-thôot) = excuse me / sorry
M01,Thai Script Fundamentals,M01-L003,How to Use This Course,READY_TO_RECORD,Word/Phrase,ไม่เข้าใจ (mâi khâo-jai) = I do not understand
M01,Thai Script Fundamentals,M01-L003,How to Use This Course,READY_TO_RECORD,Word/Phrase,พูดช้าๆ ได้ไหม (phûut cháa-cháa dâai mái) = can you speak slowly?
M01,Thai Script Fundamentals,M01-L003,How to Use This Course,READY_TO_RECORD,Grammar,Baseline politeness entry
M01,Thai Script Fundamentals,M01-L003,How to Use This Course,READY_TO_RECORD,Grammar,"Study method meta-grammar: production-first drills, review cadence, and role-play structure."
M01,Thai Script Fundamentals,M01-L004,Consonant Classes — Mid Class,PLANNED,Word/Phrase,TBD (lesson content not authored yet)
M01,Thai Script Fundamentals,M01-L004,Consonant Classes — Mid Class,PLANNED,Grammar,Mid-class consonants and their role in tone rule calculation.
M01,Thai Script Fundamentals,M01-L005,Consonant Classes — High & Low,PLANNED,Word/Phrase,TBD (lesson content not authored yet)
M01,Thai Script Fundamentals,M01-L005,Consonant Classes — High & Low,PLANNED,Grammar,High vs low consonant classes and resulting tone behavior.
M01,Thai Script Fundamentals,M01-L006,Core Vowels — Short & Long,PLANNED,Word/Phrase,TBD (lesson content not authored yet)
M01,Thai Script Fundamentals,M01-L006,Core Vowels — Short & Long,PLANNED,Grammar,Short vs long vowel contrasts and pronunciation meaning changes.
M01,Thai Script Fundamentals,M01-L007,Tone Rules Basics,PLANNED,Word/Phrase,TBD (lesson content not authored yet)
M01,Thai Script Fundamentals,M01-L007,Tone Rules Basics,PLANNED,Grammar,Basic tone rule system: class + syllable type + tone marks.
M01,Thai Script Fundamentals,M01-L008,Final Consonants + Live/Dead Syllables,PLANNED,Word/Phrase,TBD (lesson content not authored yet)
M01,Thai Script Fundamentals,M01-L008,Final Consonants + Live/Dead Syllables,PLANNED,Grammar,Final consonants and live/dead syllable classification for tones.
