Module ID,Module Title,Lesson ID,Lesson Title,State,Words/Phrases Learned,Grammar Learned,Lesson Path
M01,Thai Script Fundamentals,M01-L001,How Thai Works,READY_TO_RECORD,สวัสดี (sà-wàt-dii) = hello; ขอบคุณ (khàawp-khun) = thank you; ครับ (khráp) = male polite ending; ค่ะ (khâ) = female statement ending; คะ (khá) = female question ending; ขอโทษ (khǎaw-thôot) = excuse me / sorry; ไม่เข้าใจ (mâi khâo-jai) = I do not understand; พูดช้าๆ ได้ไหม (phûut cháa-cháa dâai mái) = can you speak slowly?,Teach pragmatic greeting and gratitude with politeness particles.; Request slower speech without breaking politeness.; Primary objective: Learner can handle first-contact interactions politely in Thai.; Secondary objective: Learner can produce clear survival lines with correct politeness particles and usable tone-marked transliteration.; Polite endings: ครับ/ค่ะ | khráp/khâ | polite sentence endings; Transliteration must follow PTM-adapted scheme with inline tone marks (no superscript tone letters).; Dropping politeness particles in formal first-contact situations.; Saying khop-khun without low tone marker (must be khàawp-khun in this system).; Thai sentence pragmatics in real interactions (meaning from context + particles).,course/modules/M01/L001
M01,Thai Script Fundamentals,M01-L002,The Thai Sound System,READY_TO_RECORD,ไก่ (gài) = chicken; ไข่ (khài) = egg; ใกล้ (glâi) = near; ไกล (glǎi) = far; ขา (khǎa) = leg; ค่า (khâa) = value / fee,"Lock in short/long vowel distinction.; Primary objective: Distinguish consonants, short/long vowels, and 5 tones at a beginner level.; Scenario: Learner listens to Thai words that sound similar but differ by tone/vowel length.; Thai sound inventory basics (consonants, vowels, tone-bearing syllables).",course/modules/M01/L002
M01,Thai Script Fundamentals,M01-L003,How to Use This Course,READY_TO_RECORD,สวัสดี (sà-wàt-dii) = hello; ขอบคุณ (khàawp-khun) = thank you; ขอโทษ (khǎaw-thôot) = excuse me / sorry; ไม่เข้าใจ (mâi khâo-jai) = I do not understand; พูดช้าๆ ได้ไหม (phûut cháa-cháa dâai mái) = can you speak slowly?,"Baseline politeness entry; Study method meta-grammar: production-first drills, review cadence, and role-play structure.",course/modules/M01/L003
M01,Thai Script Fundamentals,M01-L004,Consonant Classes — Mid Class,PLANNED,TBD (lesson content not authored yet),Mid-class consonants and their role in tone rule calculation.,course/modules/M01/L004
M01,Thai Script Fundamentals,M01-L005,Consonant Classes — High & Low,PLANNED,TBD (lesson content not authored yet),High vs low consonant classes and resulting tone behavior.,course/modules/M01/L005
M01,Thai Script Fundamentals,M01-L006,Core Vowels — Short & Long,PLANNED,TBD (lesson content not authored yet),Short vs long vowel contrasts and pronunciation meaning changes.,course/modules/M01/L006
M01,Thai Script Fundamentals,M01-L007,Tone Rules Basics,PLANNED,TBD (lesson content not authored yet),Basic tone rule system: class + syllable type + tone marks.,course/modules/M01/L007
M01,Thai Script Fundamentals,M01-L008,Final Consonants + Live/Dead Syllables,PLANNED,TBD (lesson content not authored yet),Final consonants and live/dead syllable classification for tones.,course/modules/M01/L008
M01,Thai Script Fundamentals,M01-L009,Reading Drills — Syllables to Words,PLANNED,TBD (lesson content not authored yet),Syllable decoding and chunking into full-word reading.,course/modules/M01/L009
M01,Thai Script Fundamentals,M01-L010,Greetings & Politeness Particles,PLANNED,TBD (lesson content not authored yet),Politeness particles (ครับ/ค่ะ/คะ) and register-appropriate greetings.,course/modules/M01/L010
M02,Survival Thai,M02-L001,Placeholder Lesson 001,BACKLOG,TBD (lesson content not authored yet),TBD (grammar scope not defined yet),course/modules/M02/L001
M02,Survival Thai,M02-L002,Placeholder Lesson 002,BACKLOG,TBD (lesson content not authored yet),TBD (grammar scope not defined yet),course/modules/M02/L002
M02,Survival Thai,M02-L003,Placeholder Lesson 003,BACKLOG,TBD (lesson content not authored yet),TBD (grammar scope not defined yet),course/modules/M02/L003
M02,Survival Thai,M02-L004,Placeholder Lesson 004,BACKLOG,TBD (lesson content not authored yet),TBD (grammar scope not defined yet),course/modules/M02/L004
M02,Survival Thai,M02-L005,Placeholder Lesson 005,BACKLOG,TBD (lesson content not authored yet),TBD (grammar scope not defined yet),course/modules/M02/L005
M02,Survival Thai,M02-L006,Placeholder Lesson 006,BACKLOG,TBD (lesson content not authored yet),TBD (grammar scope not defined yet),course/modules/M02/L006
M02,Survival Thai,M02-L007,Placeholder Lesson 007,BACKLOG,TBD (lesson content not authored yet),TBD (grammar scope not defined yet),course/modules/M02/L007
M02,Survival Thai,M02-L008,Placeholder Lesson 008,BACKLOG,TBD (lesson content not authored yet),TBD (grammar scope not defined yet),course/modules/M02/L008
M02,Survival Thai,M02-L009,Placeholder Lesson 009,BACKLOG,TBD (lesson content not authored yet),TBD (grammar scope not defined yet),course/modules/M02/L009
