lesson_id,topic_tags,scenario_tags,skill_tags,flashcard_tags,standalone_rating,skool_display_title,live_upsell_cta
M01-L001,greetings; introductions; basic courtesy,first-meeting; polite greetings,speaking; listening,M01; L001; first-contact;politeness;survival,5,How to Say Hello and Be Polite in Thai,false
M01-L002,greetings; introductions; basic courtesy,first-meeting; polite greetings,speaking; listening,M01; L002; first-contact;politeness;survival,3,,false
M01-L003,greetings; introductions; basic courtesy,first-meeting; polite greetings,speaking; listening,M01; L003; first-contact;politeness;survival,3,,false
M01-L004,greetings; introductions; basic courtesy,first-meeting; polite greetings,speaking; listening,M01; L004; first-contact;politeness;survival,5,Thai Numbers 0 to 10: Count Like a Local,false
M01-L005,greetings; introductions; basic courtesy,first-meeting; polite greetings,speaking; listening,M01; L005; first-contact;politeness;survival,3,,true
M01-L006,greetings; introductions; basic courtesy,first-meeting; polite greetings,speaking; listening,M01; L006; first-contact;politeness;survival,3,,false
M01-L007,greetings; introductions; basic courtesy,first-meeting; polite greetings,speaking; listening,M01; L007; first-contact;politeness;survival,3,,false
M01-L008,greetings; introductions; basic courtesy,first-meeting; polite greetings,speaking; listening,M01; L008; first-contact;politeness;survival,3,,false
M01-L009,greetings; introductions; basic courtesy,first-meeting; polite greetings,speaking; listening,M01; L009; first-contact;politeness;survival,3,,false
M01-L010,greetings; introductions; basic courtesy,first-meeting; polite greetings,speaking; listening,M01; L010; first-contact;politeness;survival,1,,true
M02-L001,script; tones; reading foundations,self-paced reading practice,reading; pronunciation,M02; L001; script;pronunciation;reading-entry,3,,false
M02-L002,script; tones; reading foundations,self-paced reading practice,reading; pronunciation,M02; L002; script;pronunciation;reading-entry,3,,false
M02-L003,script; tones; reading foundations,self-paced reading practice,reading; pronunciation,M02; L003; script;pronunciation;reading-entry,3,,false
M02-L004,script; tones; reading foundations,self-paced reading practice,reading; pronunciation,M02; L004; script;pronunciation;reading-entry,3,,false
M02-L005,script; tones; reading foundations,self-paced reading practice,reading; pronunciation,M02; L005; script;pronunciation;reading-entry,3,,true
