lesson_id,module_id,stage_id,cefr_band,module_title,lesson_title,status,lesson_primary_outcome,lesson_secondary_outcome,grammar_function_primary,grammar_function_secondary,new_vocab_core,new_chunks_core,review_vocab_required,targets,lesson_quiz_focus,prereq_lessons,notes
M01-L001,M01,S1,A0,First Contact and Courtesy,Hello and Basic Courtesy,draft,"Learner can greet people politely, thank others, apologize, and respond yes/no in a friendly first encounter.",Learner can recycle recent vocabulary while using basic affirmation and negation in short controlled output.,polite particles ครับ/ค่ะ/คะ,basic affirmation and negation,สวัสดี = hello; ขอบคุณ = thank you; ขอโทษ = sorry / excuse me; ใช่ = yes; ไม่ใช่ = not / no; ครับ = male polite ending; ค่ะ = female polite ending,สวัสดีครับ/ค่ะ = hello; ขอบคุณครับ/ค่ะ = thank you; ไม่เป็นไร = it is okay / no problem,,"Recognize and read สวัสดี ขอบคุณ ขอโทษ with transliteration support.|Catch greetings, thanks, apologies, and polite particles in slow speech.|Deliver a 2-line greeting exchange with the correct polite ending.|",Meaning recognition for greetings and correct choice of polite particles.,,Entry dialogue lesson. Seed the module's central real-world situation with high-utility chunks.
M01-L002,M01,S1,A0,First Contact and Courtesy,Names and Countries,draft,"Learner can say your name, ask someone's name, and state where you are from.",Learner can recycle recent vocabulary while using origin pattern with มาจาก in short controlled output.,name question pattern with ชื่อ,origin pattern with มาจาก,ชื่อ = name; คน = person; ประเทศ = country; ไทย = Thailand / Thai; อังกฤษ = England / British; อเมริกา = America; มาจาก = come from,คุณชื่ออะไร = what is your name?; ฉัน/ผมชื่อ... = my name is ...; ฉัน/ผมมาจาก... = I am from ...,สวัสดี = hello; ขอบคุณ = thank you; ขอโทษ = sorry / excuse me; ใช่ = yes,Read and match simple identity lines such as ชื่อ and ประเทศ.|Recognize names and country statements in short self-introductions.|Introduce yourself with name and country in 2-3 lines.|,Question formation with ชื่ออะไร and origin statements with มาจาก.,,Primary pattern lesson. Keep output controlled and highly scaffolded.
M01-L003,M01,S1,A0,First Contact and Courtesy,Pronouns and Who Questions,draft,Learner can use basic pronouns and ask who someone is.,Learner can recycle recent vocabulary while using identity question with ใคร in short controlled output.,personal pronouns,identity question with ใคร,ฉัน = I; ผม = I (male); คุณ = you; เขา = he / she; ใคร = who; นี่ = this; คือ = is / this is,นี่คือ... = this is ...; เขาคือใคร = who is he/she?; คุณคือ...ใช่ไหม = you are ... right?,ขอโทษ = sorry / excuse me; ใช่ = yes; ชื่อ = name; คน = person; ประเทศ = country; ไทย = Thailand / Thai,"Track script forms for pronouns and the high-frequency word คือ.|Distinguish pronouns and who-questions in short exchanges.|Point, identify, and ask who someone is in a mini-dialogue.|",Pronoun choice and identity questions using คือ and ใคร.,,Primary pattern lesson. Expand range while reusing lesson 1-2 vocabulary.
M01-L004,M01,S1,A0,First Contact and Courtesy,Numbers 0 to 10,draft,"Learner can understand and say the digits needed for age, room numbers, and basic counting.",Learner can recycle recent vocabulary while using number pronunciation control in short controlled output.,basic numeral use,number pronunciation control,ศูนย์ = zero; หนึ่ง = one; สอง = two; สาม = three; สี่ = four; ห้า = five; หก = six; เจ็ด = seven; แปด = eight; เก้า = nine,สิบ = ten; เบอร์อะไร = what number?; ฉันอายุ...ปี = I am ... years old,ประเทศ = country; ไทย = Thailand / Thai; ฉัน = I; ผม = I (male); คุณ = you; เขา = he / she,"Read Thai digits and associate them with spoken forms 0-10.|Recognize slowly spoken digits in age and number contexts.|Say your age, count objects, and give a simple number clearly.|",Digit recognition and production from zero to ten.,,Vocabulary system lesson. Widen usable lexicon without adding major new complexity.
M01-L005,M01,S1,A0,First Contact and Courtesy,Where and What Questions,draft,Learner can ask what something is and where something is.,Learner can recycle recent vocabulary while using where question with ที่ไหน in short controlled output.,what question with อะไร,where question with ที่ไหน,อะไร = what; ที่ไหน = where; อยู่ = be located / live; ที่นี่ = here; ที่นั่น = there; นี่ = this; นั่น = that,นี่อะไร = what is this?; คุณอยู่ที่ไหน = where do you live?; ห้องน้ำอยู่ที่ไหน = where is the bathroom?,คุณ = you; เขา = he / she; ศูนย์ = zero; หนึ่ง = one; สอง = two; สาม = three,Read question words and location words with visual support.|Recognize what/where questions in slow service speech.|Ask what an object is and where a place is.|,Question words อะไร and ที่ไหน with location verb อยู่.,,Vocabulary system lesson. Contrast and sort related items for fast retrieval. spaced-review: นี่
M01-L006,M01,S1,A0,First Contact and Courtesy,Classroom Survival Thai,draft,Learner can handle the most important classroom and lesson-management phrases.,Learner can recycle recent vocabulary while using can / may question framing in short controlled output.,request and repair language,can / may question framing,เข้าใจ = understand; ไม่เข้าใจ = do not understand; พูด = speak; ช้า = slow; อีก = again; ช่วย = help; หน่อย = a bit / please,พูดช้าๆ ได้ไหม = can you speak slowly?; พูดอีกครั้งได้ไหม = can you say it again?; ช่วยหน่อยได้ไหม = can you help a bit?,สอง = two; สาม = three; อะไร = what; ที่ไหน = where; อยู่ = be located / live; ที่นี่ = here,"Read high-frequency survival phrases with Thai script visible.|Catch repair phrases in teacher-to-student interaction.|Ask for repetition, help, and slower speech politely.|",Repair phrases and soft requests with ได้ไหม and หน่อย.,,Integration lesson. Fold prior vocabulary into short reading and speaking turns.
M01-L007,M01,S1,A0,First Contact and Courtesy,Politeness and Register,draft,Learner can choose more natural polite endings and avoid sounding abrupt in first-contact Thai.,Learner can recycle recent vocabulary while using softening with หน่อย and นะ in short controlled output.,sentence-final politeness particles,softening with หน่อย and นะ,นะ = softening particle; นะครับ = softened male ending; นะคะ = softened female ending; ได้ = can / okay; ไม่ได้ = cannot / not okay; เชิญ = please / go ahead; ยินดี = glad / pleased,"ยินดีที่ได้รู้จัก = nice to meet you; เชิญครับ/ค่ะ = please, go ahead; ได้ค่ะ/ครับ = okay / certainly",อยู่ = be located / live; ที่นี่ = here; เข้าใจ = understand; ไม่เข้าใจ = do not understand; พูด = speak; ช้า = slow,Notice how particles change tone and softness at line endings.|Hear the contrast between plain and softened polite Thai.|Respond more naturally with polite agreement and softening.|,Register choice and politeness control in short exchanges.,,Integration lesson. Push recall with slightly longer turns and lighter support.
M01-L008,M01,S1,A0,First Contact and Courtesy,Listening to First Meetings,draft,Learner can follow a slow first-meeting conversation and identify key information.,Learner can recycle recent vocabulary while using turn-taking cues in short controlled output.,listening for identity details,turn-taking cues,เพื่อน = friend; ครู = teacher; นักเรียน = student; ห้อง = room; เบอร์ = number; เจอ = meet; วันนี้ = today,คุณเป็นนักเรียนไหม = are you a student?; วันนี้เจอกันครั้งแรก = today is our first meeting; ยินดีที่ได้เจอ = glad to meet,พูด = speak; ช้า = slow; นะ = softening particle; นะครับ = softened male ending; นะคะ = softened female ending; ได้ = can / okay,"Read identity and meeting words inside a short script-backed dialogue.|Pull out name, country, role, and age from a short conversation.|Repeat and shadow a short first-meeting exchange.|","Listening for names, roles, numbers, and polite responses.",,"Listening lesson. Focus on recognition in connected, more natural speech."
M01-L009,M01,S1,A0,First Contact and Courtesy,Meet Someone New,draft,Learner can carry a short first-contact conversation from greeting to closing.,Learner can recycle recent vocabulary while using self-introduction sequencing in short controlled output.,question chaining,self-introduction sequencing,อายุ = age; ปี = year; เรียน = study; ทำงาน = work; ที่ = at / in; กับ = with; ตอนนี้ = now,ตอนนี้เรียนอยู่ = I am studying now; ตอนนี้ทำงานอยู่ = I am working now; คุณทำงานที่ไหน = where do you work?,นะคะ = softened female ending; ได้ = can / okay; เพื่อน = friend; ครู = teacher; นักเรียน = student; ห้อง = room,"Read a short self-introduction card with names, country, role, and age.|Follow a longer greeting exchange with role and study/work details.|Perform a 30-45 second first-contact roleplay.|","Integrated greeting, identity, and question handling in context.",,Scenario production lesson. Require active use under realistic constraints.
M01-L010,M01,S1,A0,First Contact and Courtesy,Module 1 Recap and Quiz,draft,Learner can review first-contact Thai and move confidently into the module quiz and flashcards.,Learner can recycle recent vocabulary while using mixed prompt response in short controlled output.,review and retrieval practice,mixed prompt response,ทบทวน = review; คำถาม = question; คำตอบ = answer; เลือก = choose; จับคู่ = match; ตอบ = answer (verb); ถูก = correct,ตอบคำถาม = answer the question; จับคู่ให้ถูก = match correctly; ทบทวนอีกครั้ง = review again,นักเรียน = student; ห้อง = room; อายุ = age; ปี = year; เรียน = study; ทำงาน = work,Read mixed first-contact prompts and basic quiz labels.|Recognize mixed content from lessons 1-9 in quiz-like audio.|Complete short spoken review tasks before the module quiz.|,"Module-wide retrieval of greetings, identity, questions, and courtesy.",,"Recap lesson. Consolidate the module, route into module quiz, and tag flashcards."
